freedom,trust_government_corruption,happiness_score
0.450002879,0.047049087,5.715000153
0.585384488,0.282661825,7.376999855
0.380426139,0.095665015,3.494999886
0.390017778,0.066035107,3.348999977
0.572575808,0.045128979,5.757999897
0.514492035,0.188816205,4.545000076
0.531310618,0.077223279,6.453999996
0.295400262,0.156313822,5.568999767
0.580200732,0.031612735,6.423999786
0.233335808,0.14609611,5.872000217
0.309410036,0.251666635,4.285999775
0.505625546,0.163760737,5.920000076
0.550026834,0.070983924,6.452000141
0.536746919,0.25704217,6.086999893
0.452763766,0.064641319,4.552999973
0.473507792,0.091065913,5.493000031
0.014995855,0.08984752,4.138999939
0.288515985,0.03751383,5.224999905
0.059900753,0.084147945,2.904999971
0.558732927,0.060477726,5.822999954
0.175863519,0.036636937,5.323999882
0.471566707,0.146377146,5.040999889
0.10617952,0.06115783,3.79399991
0.318697691,0.071095176,4.709000111
0.3007406,0.09967158,5.5
0.581843853,0.455220014,3.470999956
0.235961348,0.060241356,4.28000021
0.602126956,0.282410324,5.151000023
0.490946174,0.036872927,6.609000206
0.56776619,0.221060365,7.006000042
0.520342112,0.059307806,5.97300005
0.363658696,0.138572946,4.027999878
0.394143969,0.032902289,4.954999924
0.505196333,0.098583199,3.766000032
0.43245253,0.08998096,6.002999783
0.635422587,0.315963835,7.537000179
0.189196765,0.067231975,3.644000053
0.418271929,0.25927034,5.822000027
0.381498635,0.039864216,4.644000053
0.295817465,0.024210852,6.09800005
0.478356659,0.123717859,4.607999802
0.081539445,0.151347131,3.461999893
0.208715528,0.040903781,5.394999981
0.153997123,0.064491123,5.25
0.249463722,0.056767423,3.592999935
0.455198199,0.140134647,6.007999897
0.332881182,0.038948249,3.532999992
0.552589834,0.113945253,5.230000019
0.162342027,0.053581882,3.936000109
0.505740523,0.135638788,6.993000031
0.398155838,0.180987507,5.234000206
0.549840569,0.464307785,6.572000027
0.234231785,0.011865643,5.90199995
0.447551847,0.130687982,6.071000099
0.60834527,0.324489564,6.647999763
0.471203625,0.155353352,5.809999943
0.435025871,0.079618134,4.290999889
0.461603492,0.07821355,4.513999939
0.440305948,0.072975546,4.961999893
0.095731251,0.043289777,5.227000237
0.469987005,0.092226885,4.315000057
0.474307239,0.055267781,5.31099987
0.562511384,0.276731938,6.951000214
0.539770722,0.251343131,6.890999794
0.257921666,0.063282669,5.837999821
0.256450713,0.028028091,5.964000225
0.425962776,0.060929015,3.657000065
0.466914654,0.072711654,3.970000029
0.402264982,0.065600708,6.084000111
0.348587513,0.110937618,3.506999969
0.46573323,0.09261021,5.525000095
0.312328577,0.076046787,4.465000153
0.518630743,0.008964816,6.168000221
0.626006722,0.400770068,7.521999836
0.472787708,0.022794275,5.272999763
0.604130983,0.439299256,6.375
0.288555533,0.107215755,4.497000217
0.47913143,0.183248922,5.611000061
0.373783112,0.032962881,5.962999821
0.585214674,0.099331893,5.429999828
0.147062436,0.116793513,3.59100008
0.390661299,0.11909464,3.808000088
0.122974776,0.023029471,4.096000195
0.355111539,0.041237976,5.620999813
0.270842046,0.056565076,2.693000078
0.325905979,0.060277794,5.175000191
0.030369857,0.09987215,3.602999926
0.454943389,0.039439179,5.004000187
0.494519204,0.059739888,6.598999977
0.194989055,0.088174194,5.236999989
0.240729049,0.010091286,5.837999821
0,0.069720335,3.795000076
0.254711062,0.089282602,4.775000095
0.412730008,0.132774115,6.578000069
0.547509372,0.096581072,5.955999851
0.34807986,0.073345453,5.181000233
0.611100912,0.287371516,7.315999985
0.394952565,0.026121566,5.073999882
0.496337593,0.21515955,6.105000019
0.470222116,0.172502428,6.441999912
