economy_gdp_per_capita,trust_government_corruption,happiness_score
0.636406779,0.07821355,4.513999939
1.15655756,0.156313822,5.568999767
0.119041793,0.038948249,3.532999992
1.122094154,0.098583199,3.766000032
0.885416389,0.17338039,5.011000156
1.352682352,0.036872927,6.609000206
0.786441088,0.246528223,5.971000195
1.430923462,0.172502428,6.441999912
0.925579309,0.055267781,5.31099987
0.022643184,0.282410324,5.151000023
0.305808693,0.067231975,3.644000053
0.900596738,0.026674422,4.375999928
0.479820192,0.072975546,4.961999893
1.027235866,0.032902289,4.954999924
1.121129036,0.088174194,5.236999989
1.28455627,0.119282886,5.818999767
1.626343369,0.324489564,6.647999763
0.438012987,0.053581882,3.936000109
1.286011934,0.036636937,5.323999882
1.530623555,0.273432255,6.343999863
0.586682975,0.123717859,4.607999802
1.503944635,0.282661825,7.376999855
1.416915178,0.163760737,5.920000076
1.535706639,0.298388153,6.977000237
1.156873107,0.048761073,4.691999912
1.463780761,0.251343131,6.890999794
1.443571925,0.382611543,7.468999863
1.035225272,0.047049087,5.715000153
0.305444717,0.095665015,3.494999886
1.487923384,0.276731938,6.951000214
0.601765096,0.068105951,4.168000221
0.737299204,0.130687982,6.071000099
0.375846535,0.095375381,3.875
0.951484382,0.057471618,5.278999805
1.375382423,0.0852421,7.212999821
0.989701807,0.114381365,4.735000134
1.546259284,0.135638788,6.993000031
1.494387269,0.384398729,7.28399992
1.091864467,0.14609611,5.872000217
0.092102349,0.060241356,4.28000021
0.591683447,0.056767423,3.592999935
0.401477218,0.06115783,3.79399991
1.551674843,0.293933749,5.472000122
1.109706283,0.100106589,7.078999996
1.341205955,0.045128979,5.757999897
0.726883531,0.124348067,5.269000053
0.792221248,0.092226885,4.315000057
0.23430565,0.179436386,4.550000191
0.833756566,0.060477726,5.822999954
1.185295463,0.059739888,6.598999977
1.007265806,0.086723149,4.804999828
1.741943598,0.318834424,6.862999916
1.484414935,0.30118373,7.28399992
0.907975316,0.096581072,5.955999851
0.381430715,0.057069719,4.080999851
0.872001946,0.077223279,6.453999996
1.482383013,0.400770068,7.521999836
1.25278461,0.082287982,6.65199995
0.783756256,0.026121566,5.073999882
0.648457289,0.136957005,4.291999817
0.982409418,0,5.18200016
0.24454993,0.110937618,3.506999969
1.069317579,0.040903781,5.394999981
0.932537317,0.091065913,5.493000031
0.524713635,0.146377146,5.040999889
1.479204416,0.287371516,7.315999985
0.339233845,0.165455714,4.460000038
0.716249228,0.089282602,4.775000095
0.659516692,0.08984752,4.138999939
1.281778097,0.032962881,5.962999821
1.153183818,0.132774115,6.578000069
0.995538592,0.015317135,5.262000084
1.405706048,0.382816702,7.31400013
0.950612664,0.251666635,4.285999775
0.808964252,0.079618134,4.290999889
1.346911311,0.155353352,5.809999943
1.101803064,0.09261021,5.525000095
1.616463184,0.315963835,7.537000179
1.127868772,0.031612735,6.423999786
0,0.056565076,2.693000078
1.000820398,0.140134647,6.007999897
0.560479462,0.064641319,4.552999973
1.233748436,0.070983924,6.452000141
0.397248626,0.116793513,3.59100008
1.260748625,0.073842727,5.849999905
1.632952452,0.21515955,6.105000019
1.153601766,0.180987507,5.234000206
0.878114581,0.087763183,5.235000134
1.054698706,0.072509497,4.828999996
1.217683911,0.004387901,5.824999809
1.48063302,0.153526559,7.504000187
1.44163394,0.265428066,6.714000225
0.909784496,0.08998096,6.002999783
1.079373837,0.113945253,5.230000019
0.894651949,0.023029471,4.096000195
1.870765686,0.439299256,6.375
0.85842818,0.069720335,3.795000076
0.431085408,0.060929015,3.657000065
0.991012394,0.119803272,5.335999966
0.233442038,0.072711654,3.970000029
