generosity,happiness_score
0.264815092,3.506999969
0.199637264,4.497000217
0.427858323,6.977000237
0.41660893,6.084000111
0.183354199,4.190000057
0.385399252,7.28399992
0.114173174,4.775000095
0.490863562,4.440000057
0.316472322,7.006000042
0.113177694,4.714000225
0.06501963,5.25
0.136544481,6.09800005
0.043785378,4.465000153
0.129762307,6.441999912
0.155137509,5.568999767
0.57212311,6.423999786
0.201964423,5.818999767
0.249580145,4.513999939
0.206674367,5.837999821
0.245482773,7.468999863
0.204435185,2.904999971
0.228289798,6.105000019
0.33846423,4.954999924
0.325296462,6.168000221
0.20123747,4.179999828
0.280876487,2.693000078
0.444860309,4.552999973
0.054008815,4.285999775
0.21611385,3.936000109
0.574730575,6.52699995
0.153074786,5.849999905
0.360941947,6.647999763
0.328867495,5.18200016
0.33626917,6.951000214
0.271254301,5.620999813
0.47048983,7.376999855
0.266549885,3.532999992
0.230947196,5.073999882
0.283180982,6.862999916
0.088106759,6.609000206
0.010164657,5.90199995
0.311870933,3.79399991
0.474054545,5.011000156
0.236298457,4.695000172
0.435539722,7.315999985
0.493663728,3.461999893
0.207948461,3.657000065
0.249924988,5.822000027
0.196896151,3.494999886
0.266845703,5.809999943
0.128631443,4.735000134
0.182317451,4.138999939
0.325766057,4.080999851
0.47769925,7.28399992
0.270061463,4.096000195
0.201870024,4.291999817
0.33047387,6.375
0.428580374,5.004000187
0.293040901,4.709000111
0.158465967,5.97300005
0.242649093,5.757999897
0.104125209,3.592999935
0.214613229,7.078999996
0.233818337,5.31099987
0.362012237,7.537000179
0.175096929,6.453999996
0.253760964,5.175000191
0.354256362,3.348999977
0.09792649,3.795000076
0.319931448,5.278999805
0.492774159,6.714000225
0.345965981,6.572000027
0.224150658,5.493000031
0.475540221,7.504000187
0.322228104,4.550000191
0.374465793,5.472000122
0.225560725,5.822999954
0.04526934,5.234000206
0.231503338,6.890999794
0.18696785,5.230000019
0.197911024,5.236999989
0.157497272,3.808000088
0.120572768,5.920000076
0.147616014,6.343999863
0.095102713,5.195000172
0.049693357,4.804999828
0,5.227000237
0.183468893,4.534999847
0.193513423,5.429999828
0.172668487,6.086999893
0.360933751,5.629000187
0.234968051,5.073999882
0.228673846,4.027999878
0.240015641,5.955999851
0.500005126,7.31400013
0.162349895,6.635000229
0.120990433,6.578000069
0.20873253,3.644000053
0.283488393,6.453999996
0.046693042,5.5
