Hallux,Weight,Species
30.3,1090,RT
28.8,1100,RT
30.9,1155,RT
15.0,180,SS
32.7,1240,RT
11.0,95,SS
31.6,1190,RT
12.0,100,SS
29.0,970,RT
31.4,1095,RT
29.8,1050,RT
31.3,1050,RT
31.6,970,RT
30.0,1020,RT
11.4,96,SS
27.0,905,RT
30.1,950,RT
31.4,1125,RT
11.2,93,SS
29.1,975,RT
13.8,162,SS
32.6,1255,RT
30.7,995,RT
11.5,108,SS
29.9,1050,RT
26.8,455,CH
29.3,1125,RT
32.4,1165,RT
29.1,905,RT
19.9,365,CH
30.0,1045,RT
30.4,1055,RT
30.1,1330,RT
32.2,1050,RT
23.5,470,CH
11.1,100,SS
32.6,1350,RT
24.1,464,CH
14.9,175,SS
11.0,95,SS
14.3,185,SS
30.4,980,RT
30.8,1010,RT
19.4,103,SS
29.7,920,RT
24.0,565,CH
14.0,170,SS
31.9,1030,RT
31.55,280,RT
34.7,1195,RT
23.5,525,CH
28.9,1180,RT
29.4,1040,RT
27.3,900,RT
54.5,565,CH
28.3,915,RT
35.4,1598,RT
14.4,154,SS
12.0,105,SS
31.8,965,RT
32.0,1350,RT
19.4,340,CH
11.4,95,SS
28.8,900,RT
33.0,1215,RT
32.1,1064,RT
14.6,165,SS
29.3,1010,RT
30.0,1079,RT
29.7,1010,RT
29.5,1125,RT
29.9,980,RT
15.5,190,SS
20.1,300,CH
30.1,1015,RT
28.4,890,RT
33.2,1175,RT
33.9,1345,RT
28.4,910,RT
28.7,810,RT
33.3,1400,RT
31.0,1199,RT
30.1,895,RT
29.9,960,RT
29.4,1140,RT
32.5,1250,RT
35.6,1460,RT
15.1,176,SS
34.0,1210,RT
15.2,185,SS
33.3,1085,RT
26.9,1060,RT
11.7,100,SS
33.8,1194,RT
27.9,820,RT
15.0,180,SS
34.3,1305,RT
11.3,94,SS
14.7,92,SS
34.2,1091,RT
