Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,Class
0.780001216,135409,413.441268,0.789683894,0.991448131,0.871246402,0.789569049,BOMBAY
0.86629575,34990,209.2131827,0.703855367,0.982480709,0.796490665,0.701894861,HOROZ
0.81420382,34773,209.3257406,0.634195784,0.989675898,0.863378475,0.757071638,HOROZ
0.840035139,33989,206.2404264,0.809866667,0.982876813,0.841714592,0.732556199,HOROZ
0.850787944,35978,212.6388551,0.72209683,0.98704764,0.813517971,0.722812293,HOROZ
0.805173976,55293,262.3960778,0.770050125,0.977989981,0.85025672,0.765578052,CALI
0.475535642,31791,200.3627781,0.768949371,0.991790129,0.970792739,0.937213391,SEKER
0.836231556,54769,262.5440329,0.763245453,0.988460626,0.829865519,0.736670683,CALI
0.562727317,29690,193.4109041,0.778113248,0.989558774,0.947849473,0.908774239,SEKER
0.696795094,115298,380.9913399,0.748986604,0.988776909,0.875280258,0.844094027,BOMBAY
0.693787968,48451,247.1665564,0.769777478,0.990299478,0.9210594,0.84746509,BARBUNYA
0.817713549,57531,268.637198,0.810301939,0.985190593,0.857962864,0.754713696,CALI
0.772989921,49648,249.4407145,0.695877536,0.984289397,0.78353324,0.795334575,BARBUNYA
0.52126839,32197,200.499357,0.756964757,0.980619312,0.873118507,0.922654737,SEKER
0.734332324,139249,419.544667,0.797365264,0.992782713,0.891810581,0.8215392,BOMBAY
0.79282715,57180,268.6277186,0.753977756,0.991168241,0.882266994,0.778757045,CALI
0.756504273,139153,418.4415798,0.778239315,0.988250343,0.859510632,0.805035938,BOMBAY
0.546072628,32020,201.0542441,0.775589974,0.991505309,0.968482156,0.914812218,SEKER
0.755768822,44639,236.7634208,0.756217795,0.986290015,0.835330551,0.807042115,BARBUNYA
0.668918861,34033,206.7953012,0.73419022,0.986895072,0.933038657,0.860295545,SIRA
0.663688248,21737,165.0869239,0.724414512,0.984726503,0.94004939,0.863412178,DERMASON
0.677264398,21731,165.0560709,0.772650128,0.984630252,0.937880736,0.857299205,DERMASON
0.731212456,131148,406.5407797,0.806314756,0.989774911,0.886722008,0.824221968,BOMBAY
0.718294206,48883,248.343412,0.79979856,0.990917088,0.926911612,0.833417518,BARBUNYA
0.839148028,37023,215.8244553,0.704975527,0.988142506,0.858438369,0.736252323,HOROZ
0.513759558,30847,197.1243203,0.770681818,0.989366875,0.967109244,0.925480392,SEKER
0.529514251,31492,199.1773023,0.798759229,0.989394132,0.948119004,0.92005198,SEKER
0.709831188,130688,405.9170559,0.79933414,0.990213333,0.893763394,0.838040607,BOMBAY
