tip,total,dropoff,dropoff_zone
4.36,26.16,3/13/19 9:58,Midtown Center
1.56,9.36,3/20/19 20:45,Midtown Center
1.2,17,3/7/19 17:01,Clinton West
5.45,32.75,3/16/19 21:16,East Village
0,9.3,3/4/19 14:08,West Concourse
0.59,12.39,3/18/19 21:50,Murray Hill
2.94,12.74,3/18/19 21:38,Central Harlem North
2.95,14.75,3/4/19 9:20,Morningside Heights
1.56,9.36,3/31/19 13:52,Manhattan Valley
0,12.8,3/3/19 7:42,Yorkville West
2.05,12.35,3/23/19 2:08,Union Sq
0,12.8,3/31/19 18:03,West Chelsea/Hudson Yards
0,6.3,3/31/19 3:10,Jackson Heights
0,13.8,3/17/19 11:58,Union Sq
0,12.8,3/10/19 1:51,TriBeCa/Civic Center
1.5,14.8,3/13/19 10:15,Midtown Center
0,6.8,3/23/19 9:11,Clinton East
0,9.8,3/11/19 6:30,Murray Hill
0,9.3,3/7/19 17:00,Lincoln Square East
0,12.8,3/7/19 15:53,East Harlem South
7.51,45.07,3/17/19 15:38,LaGuardia Airport
1.85,11.15,3/22/19 23:47,Garment District
1.76,10.56,3/21/19 6:16,Times Sq/Theatre District
5.96,35.76,3/16/19 8:36,LaGuardia Airport
8.25,49.55,3/21/19 20:51,Steinway
0.92,19.22,3/19/19 9:58,East Chelsea
2,15.3,3/19/19 20:11,Union Sq
2.56,15.36,3/5/19 18:21,Murray Hill
1.35,8.15,3/21/19 13:42,Penn Station/Madison Sq West
0,7.3,3/16/19 18:48,West Chelsea/Hudson Yards
0,11.8,3/14/19 1:49,Flushing Meadows-Corona Park
0,15.8,3/18/19 9:05,East Tremont
0,8.8,3/26/19 19:56,Lenox Hill West
0.5,9.3,3/16/19 11:30,Upper East Side North
0,15.3,3/13/19 21:01,Sutton Place/Turtle Bay North
0,3.8,3/17/19 14:28,Morningside Heights
2.58,12.88,3/1/19 11:23,Meatpacking/West Village West
1,17.8,3/30/19 13:12,Lenox Hill West
3.3,16.6,3/5/19 22:45,Kips Bay
0,27.3,3/10/19 4:58,Central Harlem North
3.56,21.36,3/14/19 16:24,Times Sq/Theatre District
5.82,29.12,3/27/19 12:41,Midtown South
1.56,9.36,3/7/19 11:38,Lincoln Square West
3.86,23.16,3/23/19 0:46,Yorkville West
3.35,20.15,3/6/19 15:54,Penn Station/Madison Sq West
1,19.3,3/23/19 12:06,Midtown Center
2.05,10.35,3/28/19 13:52,Yorkville West
0,6.8,3/2/19 8:29,Gramercy
1.26,7.56,3/20/19 15:25,East Chelsea
0,10.3,3/18/19 16:26,Midtown East
1,10.3,3/12/19 16:20,Lenox Hill East
0,27.3,3/14/19 19:24,Midtown Center
0,33.3,3/6/19 17:03,Fort Greene
8.51,51.07,3/26/19 10:40,East Chelsea
1,11.8,3/16/19 21:00,Lincoln Square West
5.26,22.81,3/12/19 4:19,Midtown Center
2,20.3,3/12/19 9:51,East Chelsea
0,7.3,3/28/19 2:29,Jackson Heights
0,12.3,3/20/19 21:11,Upper East Side North
1,9.3,3/15/19 15:48,Lincoln Square East
2.82,14.12,3/7/19 11:19,Midtown East
4.85,21.15,3/5/19 20:43,East Village
0,9.3,3/19/19 14:33,Lenox Hill West
0,7.8,3/24/19 9:04,SoHo
0,8.8,3/31/19 9:27,Garment District
9.81,58.87,3/27/19 10:18,Upper East Side South
0,6.3,3/6/19 15:50,Old Astoria
0,19.3,3/14/19 18:22,Bedford
8,53.06,3/28/19 10:27,Hudson Sq
1.13,12.43,3/9/19 16:53,Greenwich Village South
2.65,15.95,3/5/19 18:35,Upper East Side South
0,11.8,3/4/19 19:06,Little Italy/NoLiTa
0,8.8,3/30/19 16:39,Elmhurst
0,7,3/26/19 6:57,Manhattanville
2,17.3,3/16/19 4:16,World Trade Center
0,28.3,3/13/19 9:33,Washington Heights South
8.89,44.45,3/13/19 10:40,LaGuardia Airport
0,11.8,3/24/19 4:39,North Corona
3.46,20.76,3/14/19 12:38,Midtown South
1.24,9.54,3/9/19 8:42,Bloomingdale
4.81,28.86,3/15/19 22:15,West Village
0,37.3,3/27/19 8:02,East Village
5,48.56,3/5/19 14:48,East Chelsea
0,14.8,3/9/19 16:58,Clinton East
3.76,22.56,3/28/19 21:50,Upper West Side North
3.15,18.95,3/12/19 20:43,East Village
4.45,22.25,3/27/19 16:27,East Village
0,16.8,3/15/19 14:28,Greenwich Village North
0,9.3,3/27/19 21:11,Lenox Hill East
9.1,54.66,3/20/19 13:33,Riverdale/North Riverdale/Fieldston
3.16,18.96,3/26/19 20:38,Lower East Side
2,8.8,3/30/19 21:51,Yorkville West
0,6.8,3/25/19 14:11,Upper East Side North
6.35,38.15,3/13/19 11:47,Midtown East
3.86,23.16,3/5/19 13:07,West Chelsea/Hudson Yards
0,31.8,3/25/19 10:46,Bay Ridge
0,16.8,3/3/19 0:06,Garment District
6,67.06,3/22/19 12:36,JFK Airport
10.26,61.56,3/24/19 6:46,Brooklyn Heights
0,8.3,3/5/19 12:40,Old Astoria
